id;name
1;Андрей Богуславский
2;Марк Саммерфильд
3;М.  Вильямс
4;Уэс Маккинни
5;Брюс Эккель
6;Томас Кормен
7;Дэвид Флэнаган
8;Гэри Маклин Холл
9;Джеймс Р. Грофф
10;Люк Веллинг
11;Сергей Мастицкий
12;Джон Вудкок
13;Джереми Блум
14;А. Белов
15;Сэмюэл Грингард
16;Сет Гринберг
17;Александр Сераков
18;Тим Кедлек
19;Пол Дейтел
20;Роберт Мартин
21;Энтони Грей
22;Мартин Фаулер
23;Джей Макгаврен
24;Дрю Нейл
25;Чарльз Лейзерсон
26;Рональд Ривест
27;Клиффорд Штайн
28;Харви Дейтел
29;Прамодкумар Дж. Садаладж"